Source,Disease,Omics Method,Omics Method Detail,Site,Sub Group,PCGP,PCGPdetails
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,,,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-NI,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,,,SP,,,
Human,Ependymoma,,,ST,,,
Human,PNET,Methylation,450k,,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,WGS,,PF,PFA-2,,
Human,Ependymoma,WGS,,PF,PFA-2,,
Human,Ependymoma,,,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,WGS,,PF,PFA-2,,
Human,Ependymoma,WGS,,PF,PFA-2,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-2,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,SP,,,
Human,Ependymoma,WES,,Spinal,,,
Human,Ependymoma,WES,,Spinal,,,
Human,Ependymoma,RNAseq,mRNASeq,Spinal,,,
Human,Ependymoma,Methylation,450k,,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,SP,,,
Human,Ependymoma,WGS,,Spinal,,,
Human,Ependymoma,WGS,,Spinal,,,
Human,Ependymoma,RNAseq,mRNASeq,Spinal,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,WES,,PF,PFA-1,,
Human,Ependymoma,WES,,PF,PFA-1,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-NI,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,WES,,PF,PFA-2,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,WES,,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WGBS,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WES,,ST,,,
Human,Ependymoma,WES,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,WGS,,PF,PFA-2,,
Human,Ependymoma,WGS,,PF,PFA-2,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-2,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,PFA-1,,
Human,Ependymoma,ChIPseq,INPUT,PF,PFA-1,,
Human,Ependymoma,ChIPseq,H3K4me3-AB7,PF,PFA-1,,
Human,Ependymoma,ChIPseq,INPUT,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,WGBS,,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,WGS,,PF,PFA-1,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-1,,
Human,Ependymoma,WES,,PF,PFA-1,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-1,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-1,,
Human,Ependymoma,RNAseq,,PF,PFA-1,,
Human,Ependymoma,Methylation,450k,PF -not typical ependymoma,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,WES,,PF,PFA-2,,
Human,Ependymoma,WES,,PF,PFA-2,,
Human,Ependymoma,RNAseq,mRNASeq,PF,PFA-2,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,PFA-2,,
Human,Ependymoma,RNAseq,,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,PF,PFA-2,,
Human,Ependymoma,Methylation,450k,,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGBS,,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WES,,ST,,,
Human,Ependymoma,WES,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,RNAseq,TotalRNAseq,ST,,,
Human,Ependymoma,ChIPseq,EZH2-AB6,ST,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WGBS,,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,RNAseq,TotalRNAseq,ST,,,
Human,Ependymoma,ChIPseq,EZH2-AB6,ST,,,
Human,Ependymoma,RNAseq,,ST,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,ChIPseq,EZH2-AB6,PF,,,
Human,Ependymoma,ChIPseq,CXorf67-AB5,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,ChIPseq,CXorf67-AB4,PF,,,
Human,Ependymoma,ChIPseq,CXorf67-AB5,PF,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,PF,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WGBS,,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,RNAseq,TotalRNAseq,ST,,,
Human,Ependymoma,ChIPseq,EZH2-AB6,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,ChIPseq,CXorf67-AB5,ST,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,ST,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,ChIPseq,EZH2-AB6,PF,,,
Human,Ependymoma,ChIPseq,CXorf67-AB5,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,ChIPseq,CXorf67-AB5,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WGBS,,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,RNAseq,TotalRNAseq,ST,,,
Human,Ependymoma,RNAseq,,ST,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WES,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,ChIPseq,EZH2-AB6,ST,,,
Human,Ependymoma,ChIPseq,CXorf67-AB5,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,ChIPseq,CXorf67-AB5,ST,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,ST,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,WGBS,,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,WGS,,ST,,,
Human,Ependymoma,RNAseq,mRNASeq,ST,,,
Human,Ependymoma,RNAseq,TotalRNAseq,ST,,,
Human,Ependymoma,ChIPseq,EZH2-AB6,ST,,,
Human,Ependymoma,ChIPseq,CXorf67-AB5,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,ChIPseq,CXorf67-AB4,ST,,,
Human,Ependymoma,ChIPseq,CXorf67-AB5,ST,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,ST,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,ST,,,
Human,Ependymoma,ChIPseq,INPUT,ST,,,
Human,Ependymoma,Methylation,450k,ST,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,ChIPseq,EZH2-AB6,PF,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,ChIPseq,EZH2-AB6,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,ChIPseq,CXorf67-AB5,PF,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,PF,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,ChIPseq,EZH2-AB6,PF,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB8,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,mRNASeq,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Mouse,PDX,Methylation,450k,PF (MET - lumbar spine),,,
Mouse,PDX,Methylation,450k,ST,,,
Mouse,PDX,Methylation,450k,ST,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB7,PF,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WGBS,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WGBS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,ChIPseq,H3K27Ac-AB6,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,ChIPseq,H3K4me3-AB7,PF,,,
Human,Ependymoma,ChIPseq,INPUT,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WGBS,,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF (MET),,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WGBS,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,SP/PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF (MET),,,
Human,Ependymoma,RNAseq,,PF (MET),,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF (MET),,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,LGG,Methylation,450k,,,,
Human,PNET,Methylation,450k,,,,
Human,PNET,Methylation,450k,,,,
Human,HGG,Methylation,450k,,,,
Human,HGG,Methylation,450k,,,,
Human,HGG,Methylation,450k,,,,
Human,HGG,Methylation,450k,,,,
Human,HGG,Methylation,450k,,,,
Human,PNET,Methylation,450k,,,,
Human,ACT,Methylation,450k,,,,
Human,ACT,Methylation,450k,,,,
Human,BALL,WES,,,,,
Human,BALL,WES,,,,,
Cell,MCF7,RNAseq,,,,,
Human,BRCA,RNAseq,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WGBS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,Methylation,450k,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,WGS,,PF,,,
Human,Ependymoma,WES,,PF,,,
Human,Ependymoma,RNAseq,TotalRNAseq,PF,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,RNAseq,,,,,
Human,Ependymoma,WES,,,,,
Human,Ependymoma,WGS,,,,,
Human,Ependymoma,WES,,,,,
